sample	major_label	Adipocyte	Cardiomyocyte	Cycling cells	Endothelial	Fibroblast	Lymphoid	Mast	Myeloid	Neuronal	Pericyte	vSMCs
CK371	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK371	FZ	0	0	0	0	0	0	0	0	0	0	0
CK371	IZ	22	404	475	892	1479	205	27	1288	14	158	62
CK371	RZ	0	0	0	0	0	0	0	0	0	0	0
CK372	BZ	0	0	0	0	0	0	0	0	0	0	0
CK372	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK372	FZ	0	0	0	0	0	0	0	0	0	0	0
CK372	IZ	0	578	205	772	840	71	11	447	14	199	29
CK372	RZ	0	0	0	0	0	0	0	0	0	0	0
CK373	BZ	0	0	0	0	0	0	0	0	0	0	0
CK373	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK373	FZ	0	0	0	0	0	0	0	0	0	0	0
CK373	IZ	0	178	523	508	2002	68	15	927	7	86	25
CK373	RZ	0	0	0	0	0	0	0	0	0	0	0
CK374	BZ	0	0	0	0	0	0	0	0	0	0	0
CK374	CTRL	2	3996	67	1141	1955	133	11	603	103	599	82
CK374	FZ	0	0	0	0	0	0	0	0	0	0	0
CK374	IZ	0	0	0	0	0	0	0	0	0	0	0
CK374	RZ	0	0	0	0	0	0	0	0	0	0	0
CK375	BZ	0	0	0	0	0	0	0	0	0	0	0
CK375	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK375	FZ	0	0	0	0	0	0	0	0	0	0	0
CK375	IZ	0	251	81	1001	660	61	6	401	7	256	77
CK375	RZ	0	0	0	0	0	0	0	0	0	0	0
CK376	BZ	0	0	0	0	0	0	0	0	0	0	0
CK376	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK376	FZ	0	0	0	0	0	0	0	0	0	0	0
CK376	IZ	1	25	111	274	415	39	2	355	9	52	7
CK376	RZ	0	0	0	0	0	0	0	0	0	0	0
